new_userID,new_bookID
2799,60463
2799,116603
47298,127512
47298,4153
6385,40788
3901,28638
3901,28332
3901,53829
3901,158523
3901,54855
39181,152805
12738,290
12738,2190
14451,46112
16634,60880
16634,39771
16634,9988
23804,688
23804,636
33235,1389
33235,13984
35266,78423
22173,45528
22173,108521
22185,114440
25396,60473
25396,4703
25396,1389
25396,361
25396,50401
25396,30201
25396,4064
63732,40157
11351,47052
11351,120483
11351,652
11351,4637
16761,83612
16761,10136
16761,2010
16761,33422
16761,88150
16761,6761
8513,2749
8513,29956
8513,12100
8513,37188
8513,7949
8513,1662
25540,18332
25540,124491
25540,62122
25540,19606
25540,33558
3307,3808
3307,696
3307,86944
3307,112373
3307,132099
3307,17483
3307,167193
3307,104828
3307,41919
3307,77734
3307,5087
3307,20445
3307,65710
3307,632
3307,25954
3307,35955
3307,36616
3307,14954
3307,77239
3307,639
3307,32630
3307,93844
3307,7920
3307,24571
3307,37259
3307,158747
3307,152084
3307,113827
3307,112055
3307,59451
3307,66749
54833,270
54833,17470
9845,735
15342,111878
49417,1413
23906,19264
23906,3409
9230,144692
9230,54744
71725,18545
356,40515
356,12177
356,66201
356,37586
356,430
67913,17515
31166,95180
31166,780
31166,19199
31166,64331
31166,11339
13152,63528
13152,8116
13152,148845
13152,902
13152,3216
13152,21056
13152,1450
13152,19261
13152,12
13152,12301
13152,96
13152,6445
13152,44106
13152,14238
13152,71905
13152,5812
13152,9641
13152,10719
13152,168394
13152,17146
13152,6032
13152,2152
13152,20320
13152,30570
13152,9949
13152,113144
13152,8974
13152,30837
13152,24454
13152,33837
13152,26280
13152,50375
13152,118391
13152,25306
13152,6681
13152,100370
13152,8245
8752,825
8752,132363
8752,172806
8752,4683
8752,34081
8752,12412
8752,5952
8752,7055
8752,8204
8752,21821
8752,2339
8752,11398
8752,14847
8752,17515
8752,46767
8752,5987
8752,74604
8752,23055
8752,21187
8752,37033
8752,12536
8752,5788
8752,3460
8752,217
8752,5226
8752,22498
8752,26912
8752,49898
8752,5874
8752,30870
8752,3706
8752,6098
8752,14366
8752,9027
8752,15140
8752,32050
8752,32008
8752,790
19414,82613
19414,19887
19654,40125
2791,92873
2791,4867
2791,120696
2791,16658
2791,19312
2791,8459
2791,3164
2791,5984
2791,26486
2791,100288
2791,88101
2791,121158
2791,5162
2791,15379
2791,173224
2791,86738
2791,41474
2791,27395
2791,468
2791,3586
2791,120126
2791,40723
2791,117410
2791,184985
2791,1187
2791,18719
2791,29019
2791,81313
2791,18147
2791,9383
2791,179346
2791,157048
2791,1936
2791,170175
2791,83161
10471,183622
10471,33266
10471,8438
10471,110237
10471,27505
10471,533
10471,5952
10471,8821
10471,38929
10471,19684
10471,18593
10471,704
10471,2041
10471,11729
10471,143194
10471,48065
10471,4294
10471,83385
10471,79772
10471,40979
10471,36348
62455,5848
35998,26178
8040,131353
8040,8960
76,184224
76,75679
76,124722
76,171737
76,40883
1886,4385
1886,2041
18938,26909
18938,6285
18938,8602
18938,42625
18938,12944
18938,85020
18938,4985
53345,64491
53345,23741
3036,133835
3036,19304
3036,13133
3036,1256
3036,3268
3036,82633
3036,144197
3036,47900
3036,17999
3036,988
3036,9360
3036,30727
3036,25560
3036,168352
3036,1956
3036,93392
3036,40320
3036,105359
3036,27480
3036,11309
3036,13085
3036,66462
3036,23302
3036,92043
3036,4730
3036,26827
3036,51133
3036,27115
3036,58522
3036,140231
3036,9670
3036,52377
3036,2397
3036,119595
3036,31748
3036,73138
3036,127000
13433,65781
13433,4344
13433,174
13433,387
13433,14776
