new_userID,userID,age,location,users_csv_index
1,153d612c88,47.0,1,171117
2,f73f18a13a,35,0,147964
3,02e87fe603,29.0,7,167051
4,be36e5b8cb,35,0,169385
5,98ec1c54b5,45.0,0,274382
6,2aed67b99a,31.0,0,70648
7,f1efaa5f51,29.0,7,164095
8,f113a1da49,43.0,0,112000
9,e61597eacc,29.0,0,173290
10,de1b84707a,35,2,250246
11,df18d25298,35,1,5047
12,21d1766093,50.0,0,243235
13,890b95265b,35,1,33123
14,6fedd1af91,34.0,0,35835
15,eea80e2b56,41.0,7,63594
16,ef6e0775ab,36.0,7,928
17,8e3a63eddc,62.0,0,13648
18,b295d90f09,25.0,2,53739
19,2d0c8ba67c,33.0,0,177431
20,7dce8c4c29,35,0,31651
21,a2511ceacb,35,0,214754
22,1c1bb8c598,25.0,1,113029
23,275b63409c,35,1,161477
24,0cc021e085,33.0,3,237961
25,20a961b84f,50.0,7,261104
26,821190b56d,31.0,0,171817
27,238b5b9e98,35,0,245225
28,5d2e5f0021,25.0,0,123743
29,e9968e43bb,65.0,0,158268
30,7e4826b098,54.0,0,31825
31,b35adf7dd1,21.0,3,141015
32,1a2254a4a9,31.0,4,179623
33,0f3dd6bffb,35,0,107117
34,f280cfd6b9,33.0,0,95358
35,27eb3b455c,43.0,0,248717
36,75581bebe2,14.0,0,256166
37,da99f7b354,35,0,82430
38,79a199d896,47.0,0,16794
39,acf8136654,40.0,1,146643
40,f71e1ceedd,48.0,1,193583
41,0f5356ae53,22.0,1,93091
42,516ff0bead,35,1,245474
43,3eae88fd9b,41.0,0,105967
44,7daeb16441,35,0,113518
45,0ee66387cb,35,0,25889
46,ba66451bc0,35,3,107950
47,188ec05cf3,35,7,11675
48,ad1f1bad86,35,0,132198
49,430b282c3d,63.0,2,56398
50,506f480296,26.0,0,138673
51,182deba3d4,20.0,1,254851
52,20e318b4cd,29.0,0,3362
53,f925024179,32.0,2,273717
54,dcebd960ee,35,0,128905
55,49cd58abbe,35,0,13967
56,f175b75c6c,47.0,0,204863
57,de47d7db76,29.0,0,10220
58,7fc0bbef8e,35,0,98864
59,6881de6274,32.0,3,244138
60,2129e0aa6c,36.0,0,201016
61,9751b9bfb6,35,7,70739
62,3ead0a38b0,35,1,73043
63,9653df089d,37.0,0,114987
64,78474bfab8,27.0,0,37226
65,81f71f38ae,48.0,0,169958
66,b5866c5aac,39.0,0,74688
67,c37a7dd1ed,35,0,187409
68,409257f2ad,35,0,54745
69,b97a77846c,35,0,5677
70,3c4964eb4e,35,2,23901
71,3e5046be76,38.0,0,236624
72,7bf63153b8,35,0,198709
73,5b2ffee907,50.0,0,41535
74,c68846ddb7,29.0,0,63359
75,6bce75641d,42.0,0,2765
76,1126d258c8,36.0,7,160506
77,fb9914f9d7,49.0,0,197658
78,2be0ae93ad,50.0,0,143414
79,be080f2463,35,5,225231
80,d06b50f269,35,0,169254
81,4e3ad105ab,43.0,6,275413
82,b86605e848,27.0,7,73680
83,27ac21222d,35,0,49888
84,e4e98809bb,35,7,228335
85,0a42765ef7,35,0,273251
86,4b74d39ebe,23.0,0,37711
87,f1187ac33b,51.0,7,273109
88,c7578f58dd,49.0,1,189333
89,59c946fd4d,35,0,208935
90,292f04b3ba,51.0,0,12142
91,1c4104c024,18.0,1,65751
92,97179a616c,27.0,7,46350
93,75013484cb,35,0,2131
94,91ab4f4abc,43.0,0,181175
95,10c0fe6ece,28.0,0,221523
96,d357d9f9c2,35,1,81278
97,e7b0cc78d9,40.0,0,117924
98,7a72a8102f,67.0,0,26515
99,e12e5ea21d,35,2,109654
