1,153d612c88,47,171117
2,f73f18a13a,35,147964
3,02e87fe603,29,167051
4,be36e5b8cb,35,169385
5,98ec1c54b5,45,274382
6,2aed67b99a,31,70648
7,f1efaa5f51,29,164095
8,f113a1da49,43,112000
9,e61597eacc,29,173290
10,de1b84707a,35,250246
11,df18d25298,35,5047
12,21d1766093,50,243235
13,890b95265b,35,33123
14,6fedd1af91,34,35835
15,eea80e2b56,41,63594
16,ef6e0775ab,36,928
17,8e3a63eddc,62,13648
18,b295d90f09,25,53739
19,2d0c8ba67c,33,177431
20,7dce8c4c29,35,31651
21,a2511ceacb,35,214754
22,1c1bb8c598,25,113029
23,275b63409c,35,161477
24,0cc021e085,33,237961
25,20a961b84f,50,261104
26,821190b56d,31,171817
27,238b5b9e98,35,245225
28,5d2e5f0021,25,123743
29,e9968e43bb,65,158268
30,7e4826b098,54,31825
31,b35adf7dd1,21,141015
32,1a2254a4a9,31,179623
33,0f3dd6bffb,35,107117
34,f280cfd6b9,33,95358
35,27eb3b455c,43,248717
36,75581bebe2,14,256166
37,da99f7b354,35,82430
38,79a199d896,47,16794
39,acf8136654,40,146643
40,f71e1ceedd,48,193583
41,0f5356ae53,22,93091
42,516ff0bead,35,245474
43,3eae88fd9b,41,105967
44,7daeb16441,35,113518
45,0ee66387cb,35,25889
46,ba66451bc0,35,107950
47,188ec05cf3,35,11675
48,ad1f1bad86,35,132198
49,430b282c3d,63,56398
50,506f480296,26,138673
51,182deba3d4,20,254851
52,20e318b4cd,29,3362
53,f925024179,32,273717
54,dcebd960ee,35,128905
55,49cd58abbe,35,13967
56,f175b75c6c,47,204863
57,de47d7db76,29,10220
58,7fc0bbef8e,35,98864
59,6881de6274,32,244138
60,2129e0aa6c,36,201016
61,9751b9bfb6,35,70739
62,3ead0a38b0,35,73043
63,9653df089d,37,114987
64,78474bfab8,27,37226
65,81f71f38ae,48,169958
66,b5866c5aac,39,74688
67,c37a7dd1ed,100,187409
68,409257f2ad,35,54745
69,b97a77846c,35,5677
70,3c4964eb4e,35,23901
71,3e5046be76,38,236624
72,7bf63153b8,35,198709
73,5b2ffee907,50,41535
74,c68846ddb7,29,63359
75,6bce75641d,42,2765
76,1126d258c8,36,160506
77,fb9914f9d7,49,197658
78,2be0ae93ad,50,143414
79,be080f2463,4,225231
80,d06b50f269,35,169254
81,4e3ad105ab,43,275413
82,b86605e848,27,73680
83,27ac21222d,35,49888
84,e4e98809bb,35,228335
85,0a42765ef7,35,273251
86,4b74d39ebe,23,37711
87,f1187ac33b,51,273109
88,c7578f58dd,49,189333
89,59c946fd4d,35,208935
90,292f04b3ba,51,12142
91,1c4104c024,18,65751
92,97179a616c,27,46350
93,75013484cb,35,2131
94,91ab4f4abc,43,181175
95,10c0fe6ece,28,221523
96,d357d9f9c2,35,81278
97,e7b0cc78d9,40,117924
98,7a72a8102f,67,26515
99,e12e5ea21d,35,109654
100,f80f9be07d,38,77523
101,44927c762b,35,174915
102,bd92f4275b,35,183283
103,eac0a6fefd,35,117576
104,acf183cc9b,37,225611
105,5fcaaec1b1,25,66618
106,dfc7af41c6,29,96439
107,5faed78002,35,267527
108,40fd303748,44,98660
109,a85ef02188,39,128599
110,aea90938ba,35,57631
111,98f04124ae,34,75833
112,965c3e2bf6,30,93362
113,1d83881fad,35,50578
114,7405894505,77,4090
115,89106fc70d,27,122505
116,f52b0b0b0d,35,232610
117,1fbfa0c776,35,147846
118,f39c8216e7,35,29116
119,c3cf5d0983,35,262786
120,1544439b37,45,23767
121,d7ab6884e5,33,127358
122,2a2d9edeef,44,101208
123,ee058df5bb,35,127128
124,69f96770f2,35,232047
125,8ba6c94674,24,105261
126,35f86a4e92,97,114864
127,4c01b508de,34,176596
128,cf3468b2ea,57,83636
129,f945f1ca57,40,41311
130,0cea1f6ee6,35,140079
131,a6519f9a2c,35,249893
132,05832892c8,23,154552
133,a4f740c4a0,32,236726
134,a87a39e21f,16,53447
135,cffba4ce0e,35,149721
136,65d066c562,17,2335
137,1d765c1581,20,74171
138,b53b06b2b3,26,228153
139,69466a9d49,32,30710
140,744aef6591,51,259628
141,5cf97f5e64,35,246327
142,2be5415bdd,16,162305
143,de763993d9,49,178239
144,1ceb71eab8,32,223333
145,9aa599141c,37,193559
146,d59bf46e7e,35,171403
147,8aa514fa3a,47,211651
148,9af9963141,26,144536
149,1dcaf329a7,44,19968
150,9955b5881a,24,253
151,2e147eb6ea,35,250299
152,0abef25eec,57,172887
153,5aaab2b855,38,99472
154,fda666a385,32,227249
155,313563644e,29,63713
156,036e96476b,36,51907
157,518d23b38e,29,94817
158,593abc14c8,36,90882
159,251e1417a6,54,180650
160,e91088c71d,35,3756
161,5d47e02cbe,57,209515
162,e9316e3188,35,239872
163,e3dd43cf8b,35,223500
164,a8b15f4840,60,95953
165,48870fec89,35,113771
166,417717e0b6,31,185232
167,1da1b8e3ba,35,81596
168,e0b319315c,27,160573
169,346f10fb2d,17,32598
170,a31bca94d0,45,206562
171,62508170b6,35,277996
172,8c68374a96,34,89890
173,bd3bbe2aa9,30,265888
174,28aeca845a,35,62338
175,0d8563793e,44,129007
176,94a3b8aec4,41,274300
177,997dc62862,52,98390
178,0902a305b3,23,242408
179,a56937e40e,30,43408
