20446,135690,7
4418,756,8
4418,68793,8
9353,4302,6
8998,78015,7
3594,6033,6
1905,3287,5
1905,107801,5
1905,10983,5
1905,50082,5
49975,35443,7
76144,27679,7
2916,169010,7
150,11988,7
150,842,7
42123,1449,7
6487,173501,6
3022,174208,8
41584,1736,5
6540,179,8
6476,100770,8
1636,22087,6
1457,166203,6
38728,321,7
396,411,6
93,95356,7
5394,5119,8
5394,17102,8
11626,8736,8
7162,55,7
13402,120673,6
75,35171,7
10039,2277,6
10039,11754,7
916,99177,7
916,45041,7
916,58236,7
24079,84034,6
4723,176528,5
4723,148101,5
4723,19119,5
4723,151787,5
4723,174300,5
4723,156542,5
52,45380,8
52,18125,8
52,33073,8
52,7910,8
52,5969,8
52,47417,8
52,1865,8
6269,38722,7
13444,87722,7
13444,29272,7
25078,67902,5
16584,82060,7
860,76433,7
46056,67043,6
13974,65030,7
7800,25253,6
18403,5072,6
357,52019,4
31946,7574,6
48820,133423,7
39321,12621,6
16248,15241,7
66079,92150,6
4459,79310,7
2875,36364,7
34543,6087,6
34543,21619,6
34543,25452,6
16113,17470,9
1757,4344,8
1757,32036,8
1757,6532,8
1757,122666,8
5535,10987,5
39178,2190,8
865,6196,7
2840,16853,7
966,25038,7
966,9322,7
966,9847,7
966,7134,7
761,118898,6
17814,39969,6
15728,5096,5
15728,15347,5
19169,20053,6
1501,71643,7
23695,105473,7
599,17826,8
29976,11070,6
29976,45905,6
788,7917,7
788,35674,7
788,588,7
788,15847,7
788,2987,7
4581,12534,8
4581,51205,8
6764,377,7
6764,23996,7
6764,155418,7
6764,12818,7
6764,130945,7
1587,85440,6
1587,108785,6
1587,77487,6
475,402,9
457,8536,7
6678,72863,5
6678,10522,6
29954,10242,7
29954,1830,7
29954,1030,7
8905,107010,7
4469,135844,7
4469,12861,7
4469,129424,7
4469,87096,7
4469,132403,7
4469,154516,7
21684,92160,7
2646,103513,8
2646,14269,8
2646,23268,8
2646,7572,8
12046,50250,4
47412,52521,6
3948,8572,5
3948,18330,5
1478,53388,7
770,1725,6
770,77066,5
8288,18140,8
16192,51281,6
38561,15519,7
4461,33270,6
21886,27560,6
12679,9702,7
4620,1725,8
4620,17825,7
4620,98210,7
4620,55274,7
16523,5226,6
2629,25801,8
47,6443,7
47,80467,7
47,96788,7
47,27577,6
47,43687,7
47,65659,7
47,36188,7
47,1469,7
47,63085,7
47,1344,7
47,11380,6
47,30816,7
47,72506,7
47,32189,7
47,110932,7
34743,54915,6
8886,262,5
2204,84242,9
5966,4162,4
3333,24916,8
31011,131061,8
42843,149991,7
18072,147420,6
11751,13646,6
26602,2426,7
427,174991,7
427,5816,7
2302,688,7
2302,1804,7
2302,4204,7
2302,21238,7
2302,12537,7
2302,27297,7
2302,5935,7
4285,40442,6
9570,6802,7
49357,2746,6
41412,1644,7
9463,20294,7
8458,23137,7
