User-ID,ISBN,Book-Rating
1,1,8
2,2,10
3,3,8
4,4,10
5,5,9
6,6,8
7,7,6
8,8,8
9,9,8
10,10,8
11,11,10
12,12,7
13,13,8
14,14,5
15,15,8
16,16,7
17,17,5
18,18,7
19,19,10
20,20,3
21,21,10
22,22,8
23,23,3
24,24,7
25,25,9
26,26,8
27,27,7
28,28,8
29,29,9
30,30,10
31,31,5
32,32,8
33,33,9
34,34,4
35,35,5
36,36,7
37,37,6
38,38,7
39,39,8
40,40,8
41,41,10
42,42,6
43,43,5
44,44,9
45,45,8
46,46,10
47,47,8
48,48,7
49,49,10
50,50,8
51,51,6
52,52,8
53,53,10
54,54,8
55,55,7
56,56,10
57,57,7
58,58,5
59,59,8
60,60,7
61,61,7
62,62,9
63,63,9
64,64,9
65,65,7
66,66,8
67,67,5
68,68,7
69,69,10
70,70,6
71,71,8
35,72,7
72,73,8
73,74,8
74,75,7
75,76,6
76,77,8
77,78,9
78,79,3
79,80,9
80,81,9
47,82,5
81,83,8
82,84,5
83,85,8
84,86,9
85,87,8
86,88,8
87,89,9
88,90,9
89,91,10
90,92,10
91,93,9
92,94,8
93,95,8
94,96,10
95,97,6
96,98,9
97,99,8
98,100,10
99,101,7
100,102,6
70,103,6
101,104,5
102,105,6
103,106,7
104,107,6
105,108,7
106,109,9
107,110,10
108,111,10
109,112,9
47,113,8
110,114,7
111,115,5
112,116,9
113,117,8
114,118,8
115,119,7
116,120,5
117,121,10
118,122,4
119,123,9
81,124,9
120,125,7
121,126,8
122,127,5
123,128,6
124,129,4
125,130,7
126,131,9
47,132,10
127,133,6
128,134,7
129,135,8
130,136,9
131,137,6
132,138,10
133,139,8
134,140,9
135,141,8
136,142,9
137,143,4
138,144,8
139,145,8
140,146,8
141,147,9
142,148,5
143,149,7
144,150,6
145,151,9
146,152,5
147,153,10
148,154,5
149,155,3
150,156,9
151,157,7
152,158,8
153,159,4
154,160,10
155,161,10
156,162,7
157,163,10
158,164,10
159,165,8
160,166,8
161,167,5
162,168,10
163,169,7
164,170,7
165,171,10
166,172,5
167,173,8
168,174,6
169,175,8
170,176,7
171,177,8
172,178,5
173,179,8
174,180,9
175,181,9
176,182,10
177,183,10
38,184,4
47,185,9
178,186,10
179,187,8
180,188,7
181,189,9
182,190,5
183,191,6
184,192,7
185,193,8
186,194,7
187,195,9
188,196,8
177,197,10
189,198,5
190,199,6
191,200,9
192,201,5
193,202,7
194,203,6
195,204,6
196,205,8
197,206,10
198,207,9
199,208,4
200,209,7
201,210,1
202,211,10
203,212,10
204,213,8
205,214,10
206,194,10
207,215,8
208,216,5
209,217,7
210,218,10
211,219,8
79,220,9
63,221,7
212,222,6
213,223,9
214,224,7
215,225,9
216,226,9
217,227,6
218,228,10
219,229,7
220,230,9
221,231,6
222,232,9
223,233,7
224,234,7
225,235,10
226,236,8
227,237,8
228,238,4
229,239,10
230,240,7
231,241,8
232,242,5
233,243,8
234,244,10
235,245,5
236,246,10
237,247,5
238,248,7
239,249,6
240,250,10
241,251,9
242,252,8
166,253,5
243,254,10
244,255,3
245,256,8
246,257,10
247,258,4
77,259,5
248,260,9
249,261,10
250,262,8
251,263,5
252,264,9
253,265,8
254,266,6
255,267,7
256,268,9
257,269,7
258,270,9
259,271,7
260,272,9
261,273,9
262,274,6
263,275,10
264,276,5
265,277,7
266,278,8
267,279,7
257,280,6
268,281,7
269,282,5
270,283,8
271,284,8
47,285,4
272,286,8
70,287,10
273,288,7
274,289,10
275,237,6
75,290,8
276,291,9
277,292,5
278,293,10
279,294,7
280,295,10
281,296,5
282,297,4
283,298,5
284,299,9
285,300,9
286,301,6
287,302,9
288,303,10
177,304,8
289,305,8
290,306,7
291,307,10
292,308,10
293,309,10
294,310,7
295,311,9
296,312,8
297,313,8
298,314,10
299,315,6
237,316,5
300,317,8
70,318,8
301,319,6
302,320,5
303,321,7
304,322,8
305,323,8
306,324,7
307,325,6
308,326,9
309,327,8
310,328,6
311,329,9
312,330,10
313,331,7
314,332,8
315,333,10
316,334,6
317,335,5
318,336,6
319,337,7
320,338,5
321,339,5
322,340,8
323,341,9
324,342,8
325,343,10
326,344,10
327,345,8
328,346,6
329,347,10
330,348,10
331,349,5
332,350,8
333,351,9
334,352,6
335,353,5
336,354,7
337,355,4
338,356,10
339,357,6
340,358,10
341,359,8
342,360,4
343,361,9
344,362,10
345,363,10
346,364,3
347,365,7
348,366,7
349,367,5
350,368,9
351,369,7
352,370,9
353,371,5
277,372,10
354,373,10
355,374,3
356,375,7
357,376,5
358,377,5
359,378,7
360,379,8
361,380,4
362,381,5
363,382,4
364,383,6
365,384,6
366,385,5
367,386,9
368,387,8
369,388,8
370,389,8
371,390,6
372,391,10
373,392,5
374,393,8
375,394,10
376,395,3
377,396,8
378,397,9
379,398,9
380,399,8
381,400,9
382,401,7
383,402,9
384,403,5
385,404,10
386,405,3
387,406,8
388,407,10
389,408,6
390,409,8
391,410,8
392,411,2
393,412,10
394,413,7
395,414,5
396,415,9
397,416,5
398,417,7
155,418,10
399,419,10
400,420,7
401,421,3
402,422,6
403,423,9
404,424,7
405,425,8
406,426,5
407,427,9
408,428,6
409,429,5
410,430,9
411,431,7
47,432,7
412,433,8
413,434,8
414,435,8
415,436,7
416,437,8
417,438,5
117,439,5
418,440,9
419,441,8
420,442,7
421,443,3
422,444,5
423,445,8
424,446,8
425,447,6
426,448,8
427,449,8
177,450,8
428,451,7
429,452,7
430,453,7
431,454,9
432,455,6
433,456,10
434,457,6
435,458,8
436,459,6
437,460,5
53,461,10
438,462,8
439,463,5
440,464,10
441,379,7
442,465,5
443,466,6
444,467,8
445,468,7
446,469,10
447,470,9
448,471,9
449,472,8
450,473,5
451,474,8
110,475,4
452,476,6
453,477,9
454,478,6
455,479,10
456,480,7
457,481,8
458,482,8
459,483,10
460,484,5
461,485,6
462,486,4
463,487,5
464,488,5
465,489,8
466,490,10
35,491,10
47,492,8
467,493,7
468,494,10
469,495,9
470,496,8
471,497,8
472,498,8
321,499,8
473,500,7
474,501,8
475,502,6
476,503,5
477,504,8
478,505,10
479,506,10
480,507,8
481,508,8
482,509,9
483,510,5
484,511,10
485,512,7
486,513,8
487,514,8
77,515,9
70,516,7
488,517,9
489,518,9
490,519,6
491,520,9
492,521,5
493,522,5
494,523,9
47,524,6
495,525,6
496,526,7
497,527,8
498,528,3
499,529,10
500,530,8
189,531,10
366,532,5
47,533,3
501,534,9
1,535,7
502,536,5
503,537,5
504,538,5
505,539,9
506,540,6
507,541,7
508,542,8
334,543,7
189,544,1
509,545,8
510,546,8
511,547,9
512,548,2
513,549,10
514,550,10
370,551,8
515,552,8
516,553,8
517,554,7
518,555,8
519,556,9
520,557,3
521,558,8
522,559,7
523,560,7
524,561,7
525,562,8
1,563,7
526,564,8
154,565,5
527,566,9
528,567,7
529,310,10
530,568,7
531,569,7
532,570,8
533,571,10
534,572,9
166,573,5
535,574,7
536,575,9
250,576,8
537,577,8
538,578,9
539,579,8
540,580,9
541,581,6
542,582,8
543,583,10
544,584,8
545,585,7
546,586,10
547,587,9
548,588,8
549,589,7
550,590,6
551,591,8
552,592,3
553,593,8
554,594,6
380,595,8
555,596,10
556,597,4
